SCHL,gmajor,fod1p,_TYPE_,_FREQ_,p50adj_wagp,p25adj_wagp,p75adj_wagp,pop,meanadj_wagp,mean_grad_degree,mean_grad_degree_all,mean_employed_all,pct_ts,pct_tsg,p50r,p25r,p75r,pct_ts_all,pct_tsg_all
,Agriculture and natural resources,,2,38891,56069.77691,35463.4472,86961.49844,3355663,70143.591121,0.2812082143,0.2799642922,0.9722487829,0.0148058611,1,56000,35000,87000,0.0136420154,1
,Architecture and engineering,,2,218174,90112.141462,60074.760975,125007.15401,22164947,105031.16156,0.3918167276,0.3863705755,0.9634780872,0.0977962108,1,90000,60000,125000,0.0870960814,1
,Arts,,2,74829,46456.454593,28724.287452,71557.197801,7917918,58159.076812,0.2281087023,0.2316859324,0.9429773451,0.0349354491,1,46000,29000,72000,0.0406446373,1
,Biology and life sciences,,2,118516,70087.221137,44191.211465,119572.06035,11698404,104163.14991,0.6116444602,0.5757652889,0.9688350083,0.0516157149,1,70000,44000,120000,0.0514181357,1
,Business,,2,502769,66286.817197,42732.231115,103236.56576,52751577,87619.012645,0.232703337,0.2264307168,0.9574975973,0.2327505834,1,66000,43000,103000,0.2182955243,1
,Communications and journalism,,2,90766,55239.014331,37067.33871,86172.862356,9513353,71763.004145,0.2151913211,0.2105837271,0.9501295855,0.0419748297,1,55000,37000,86000,0.0429809464,1
,"Computers, statistics, and mathematics",,2,128257,82565.997463,53029.453758,115143.29187,13476213,94967.586063,0.3358896895,0.3364198657,0.9603025116,0.0594597663,1,83000,53000,115000,0.0555271048,1
,Education,,2,218662,50871.703708,37760.18284,68482.180021,21216094,57064.998712,0.4754081029,0.4485932674,0.9720335565,0.0936096803,1,51000,38000,68000,0.1063372067,1
,Health,,2,161902,68168.082969,48789.385409,94838.978117,16671066,79975.769527,0.3539596088,0.338279437,0.9765410253,0.0735561012,1,68000,49000,95000,0.0742131712,1
,Humanities and liberal arts,,2,198719,55239.014331,35926.324885,87751.080897,19806148,76105.156432,0.4356328651,0.4144005958,0.9531619935,0.0873887145,1,55000,36000,88000,0.0951557661,1
,"Industrial arts, consumer services, and recreation",,2,50170,52842.238376,35228.158917,79263.357564,5141812,65513.166511,0.2551688004,0.2484206421,0.9637036422,0.0226867103,1,53000,35000,79000,0.0234988983,1
