SCHL	gmajor	fod1p	_TYPE_	_FREQ_	p50adj_wagp	p25adj_wagp	p75adj_wagp	pop	meanadj_wagp	mean_grad_degree	mean_grad_degree_all	mean_employed_all	pct_ts	pct_tsg	p50r	p25r	p75r	pct_ts_all	pct_tsg_all
	Agriculture and natural resources		2	38891	56069.77691	35463.4472	86961.49844	3355663	70143.59112	0.281208214	0.279964292	0.972248783	0.014805861	1	56000	35000	87000	0.013642015	1
	Architecture and engineering		2	218174	90112.14146	60074.76098	125007.154	22164947	105031.1616	0.391816728	0.386370576	0.963478087	0.097796211	1	90000	60000	125000	0.087096081	1
	Arts		2	74829	46456.45459	28724.28745	71557.1978	7917918	58159.07681	0.228108702	0.231685932	0.942977345	0.034935449	1	46000	29000	72000	0.040644637	1
	Biology and life sciences		2	118516	70087.22114	44191.21147	119572.0604	11698404	104163.1499	0.61164446	0.575765289	0.968835008	0.051615715	1	70000	44000	120000	0.051418136	1
	Business		2	502769	66286.8172	42732.23112	103236.5658	52751577	87619.01265	0.232703337	0.226430717	0.957497597	0.232750583	1	66000	43000	103000	0.218295524	1
	Communications and journalism		2	90766	55239.01433	37067.33871	86172.86236	9513353	71763.00415	0.215191321	0.210583727	0.950129586	0.04197483	1	55000	37000	86000	0.042980946	1
	"Computers, statistics, and mathematics"		2	128257	82565.99746	53029.45376	115143.2919	13476213	94967.58606	0.33588969	0.336419866	0.960302512	0.059459766	1	83000	53000	115000	0.055527105	1
	Education		2	218662	50871.70371	37760.18284	68482.18002	21216094	57064.99871	0.475408103	0.448593267	0.972033557	0.09360968	1	51000	38000	68000	0.106337207	1
	Health		2	161902	68168.08297	48789.38541	94838.97812	16671066	79975.76953	0.353959609	0.338279437	0.976541025	0.073556101	1	68000	49000	95000	0.074213171	1
	Humanities and liberal arts		2	198719	55239.01433	35926.32489	87751.0809	19806148	76105.15643	0.435632865	0.414400596	0.953161994	0.087388715	1	55000	36000	88000	0.095155766	1
	"Industrial arts, consumer services, and recreation"		2	50170	52842.23838	35228.15892	79263.35756	5141812	65513.16651	0.2551688	0.248420642	0.963703642	0.02268671	1	53000	35000	79000	0.023498898	1
	Law and public policy		2	51739	56780.11117	38530.79882	84653.98392	5536105	69272.5516	0.24844471	0.245483949	0.956473717	0.02442641	1	57000	39000	85000	0.022658952	1
	Physical sciences		2	71393	76307.55556	46456.45459	120149.522	7421141	100850.8343	0.523453199	0.503097835	0.964741287	0.032743569	1	76000	46000	120000	0.031502165	1
