SCHL	fod1p	_TYPE_	_FREQ_	p50adj_wagp	p25adj_wagp	p75adj_wagp	mean_grad_degree	mean_grad_degree_all	mean_employed	pct_ts	pct_tsg	pct_ts_all	pct_tsg_all	gths_mean	gthsftfy_mean	gmajor
		2	35387	60548.39814	40697.36297	90112.14146	0.289472296	0.289847192	0.972248783	0.01412371	1	0.01348779	1	0.793828608	0.826494636	Agriculture and natural resources
		2	212193	91677.67885	63078.49902	126451.9708	0.393593849	0.393492095	0.963478087	0.098433176	1	0.090930847	1	0.885000429	0.922644475	Architecture and engineering
		2	69027	50062.30081	33026.39899	74859.8377	0.23060716	0.240840043	0.942977345	0.033350797	1	0.037220803	1	0.664519687	0.730926	Arts
		2	114075	72089.71317	47103.35913	121525.8315	0.609067022	0.594474638	0.968835008	0.051493554	1	0.05158614	1	0.814468683	0.869937367	Biology and life sciences
		2	484484	68494.81753	45056.07073	105130.8317	0.233241255	0.231001972	0.957497597	0.232191774	1	0.219723456	1	0.828985505	0.864396754	Business
		2	87162	56976.30815	39631.67878	87751.0809	0.216456656	0.217090466	0.950129586	0.041753808	1	0.042514082	1	0.764703437	0.815966462	Communications and journalism
		2	125661	82858.5215	55043.99831	115914.3066	0.337202674	0.34127065	0.960302512	0.060271294	1	0.057216849	1	0.864353059	0.908279072	"Computers, statistics, and mathematics"
		2	214070	51618.28288	38662.49482	68496.37777	0.47908181	0.469967585	0.972033557	0.094891095	1	0.106139702	1	0.772306743	0.815955078	Education
		2	158957	69085.97512	49715.1129	95118.37154	0.351165098	0.344360036	0.976541025	0.074773279	1	0.076173077	1	0.837602729	0.895247872	Health
		2	190543	57245.75824	38662.49482	89534.19853	0.435731865	0.43011114	0.953161994	0.086728854	1	0.091886076	1	0.735808799	0.801207902	Humanities and liberal arts
		2	48477	54350.93653	36881.82482	80524.52129	0.257075458	0.257349904	0.963703642	0.022704974	1	0.023485402	1	0.741140907	0.787491341	"Industrial arts, consumer <br> services, and recreation"
		2	50615	57957.15329	39772.09032	85868.63736	0.245727051	0.246575285	0.956473717	0.024745397	1	0.023470531	1	0.801478834	0.822940033	Law and public policy
		2	69063	79032.48176	49715.1129	121525.8315	0.524273804	0.517496657	0.964741287	0.032792638	1	0.031758608	1	0.834015789	0.878287694	Physical sciences
		2	121001	52906.57186	36958.63684	78265.3486	0.475702979	0.468791742	0.954639349	0.056692428	1	0.059567017	1	0.737432872	0.789815832	Psychology and social work
		2	162492	70087.22114	44191.21147	110478.0287	0.425597779	0.421039083	0.954146973	0.07505322	1	0.07483962	1	0.798083709	0.855792524	Social sciences
	General agriculture	3	5362	55437.95526	38114.91989	86107.1574	0.270159781	0.265257192	0.972604986	0.00229482	0.162479952	0.002182387	0.161804669	0.767426629	0.791888695	Agriculture and natural resources
	Agricultural economics	3	2216	74092.2052	48059.80878	110137.0618	0.280726116	0.282155562	0.978129781	0.000812839	0.057551373	0.000735452	0.054527241	0.85528998	0.865025467	Agriculture and natural resources
	Animal sciences	3	6902	58553.35519	38530.79882	88382.42293	0.394030945	0.387544653	0.978171133	0.002704401	0.191479532	0.002606542	0.193251984	0.771089959	0.799928694	Agriculture and natural resources
	Food science	3	1505	72265.59603	47819.40149	110087.9966	0.416078841	0.428181577	0.964942007	0.00067373	0.047702044	0.000677274	0.050213871	0.804127627	0.866233484	Agriculture and natural resources
	Plant science and agronomy	3	4442	56780.11117	38530.79882	86172.86236	0.266542954	0.27089887	0.972925549	0.001775462	0.125707874	0.00170072	0.126093292	0.771091157	0.803991414	Agriculture and natural resources
	Soil science	3	379	71220.38519	47505.55233	96656.23705	0.347787101	0.357066978	0.957831765	0.000142692	0.010102987	0.000141816	0.010514404	0.810415857	0.896208288	Agriculture and natural resources
	Miscellaneous agriculture	3	5844	59877.20814	41294.62631	88070.39729	0.175120546	0.179793393	0.977216695	0.002232782	0.158087518	0.002069794	0.153456895	0.814596718	0.833153914	Agriculture and natural resources
	Forestry	3	3495	65080.99106	46456.45459	93574.79713	0.263866535	0.265765624	0.969150357	0.001374201	0.097297469	0.001279953	0.094897157	0.851135538	0.874619252	Agriculture and natural resources
	Natural resources management	3	5242	58553.35519	41294.62631	84653.98392	0.292435201	0.286162032	0.961336781	0.002112784	0.149591251	0.002093851	0.155240488	0.786518274	0.846454649	Agriculture and natural resources
	Architecture	3	15705	68494.81753	47058.56276	99430.2258	0.355272286	0.353089343	0.939704145	0.007199788	0.073143911	0.007215202	0.079348236	0.803081068	0.873934433	Architecture and engineering
	General engineering	3	26606	88070.39729	59786.03018	122092.0889	0.372878302	0.370696948	0.964753741	0.015066679	0.153065048	0.013748023	0.151192069	0.878381698	0.905984124	Architecture and engineering
	Aerospace engineering	3	5000	101743.4074	72089.71317	134307.3559	0.490499495	0.483793387	0.974390628	0.002226019	0.022614522	0.002032036	0.022347043	0.911637117	0.948285064	Architecture and engineering
	Architectural engineering	3	946	79544.18064	57957.15329	110875.9105	0.294826288	0.29223787	0.955965105	0.00042484	0.004316021	0.000392672	0.004318358	0.869704768	0.912896633	Architecture and engineering
	Biomedical engineering	3	4026	78097.18927	50871.70371	119572.0604	0.547953182	0.548072096	0.967439089	0.001781471	0.018098275	0.00173469	0.019077028	0.821350878	0.878660712	Architecture and engineering
	Chemical engineering	3	13758	103236.5658	70705.93834	143486.4724	0.493445418	0.494401285	0.969898311	0.006127407	0.062249404	0.005662604	0.06227374	0.893653622	0.928270989	Architecture and engineering
	Civil engineering	3	22639	88382.42293	63225.98541	120149.522	0.366493819	0.368228334	0.964424955	0.009843513	0.100001987	0.00902146	0.099212318	0.891413036	0.933939771	Architecture and engineering
	Electrical engineering	3	48234	103236.5658	73297.96169	136989.6351	0.441026128	0.440884108	0.96476089	0.021865471	0.222135178	0.020075099	0.220773255	0.906220554	0.942557286	Architecture and engineering
	"Engineering mechanics, <br> physics, and science"	3	1499	96119.61756	63225.98541	135168.2122	0.543179541	0.532027763	0.971402861	0.00066577	0.00676367	0.000610924	0.006718559	0.882011524	0.912096586	Architecture and engineering
	Environmental engineering	3	1231	81526.40479	59011.1763	110645.4745	0.518122616	0.505407782	0.968497264	0.000528383	0.005367938	0.000501455	0.00551468	0.85072177	0.922061075	Architecture and engineering
	Geological and geophysical <br> engineering	3	354	102204.2001	68496.37777	142440.7704	0.409447157	0.39868841	0.989694066	0.000151593	0.001540063	0.000147361	0.001620581	0.899935169	0.944956894	Architecture and engineering
	Industrial and manufacturing <br> engineering	3	9136	90222.55463	63225.98541	126161.8252	0.407022729	0.409869261	0.960841922	0.004084662	0.041496802	0.003812499	0.041927451	0.876099329	0.920821731	Architecture and engineering
	Mechanical engineering	3	38079	96744.66701	69601.15806	130161.9821	0.402175804	0.404004074	0.970675141	0.017045293	0.173166139	0.015423485	0.169617737	0.911944205	0.941462663	Architecture and engineering
	Metallurgical engineering	3	766	105376.6424	72265.59603	139138.3975	0.577028693	0.567683129	0.971159052	0.000326163	0.003313546	0.000299921	0.003298342	0.904132414	0.939069155	Architecture and engineering
	Mining and mineral engineering	3	693	102179.7607	70656.21748	144531.1921	0.358219852	0.355293309	0.963446548	0.000287915	0.002924978	0.000256566	0.002821551	0.881015124	0.915309653	Architecture and engineering
	Petroleum engineering	3	1077	139138.3975	90272.15723	247697.9924	0.318157047	0.310124428	0.97056737	0.000477953	0.004855605	0.000431743	0.004748032	0.928730702	0.959050797	Architecture and engineering
	Miscellaneous engineering	3	3692	82565.99746	54350.93653	115914.3066	0.32120044	0.325522744	0.961444173	0.00167614	0.017028206	0.001567686	0.017240417	0.857072541	0.892854125	Architecture and engineering
	Engineering technologies	3	2059	71220.38519	46057.31675	101743.4074	0.226877644	0.231560979	0.961231484	0.001022037	0.010383056	0.000942828	0.010368625	0.854327348	0.865316689	Architecture and engineering
	Engineering and industrial <br> management	3	1865	87751.0809	58346.63821	129045.7072	0.324727031	0.326110461	0.955078728	0.000797686	0.008103833	0.000740876	0.00814768	0.885601206	0.91633918	Architecture and engineering
	Industrial production technologies	3	4293	77427.42432	53683.0142	105813.1437	0.181189529	0.183768573	0.958978223	0.001874065	0.01903896	0.001719717	0.018912359	0.881788735	0.912748225	Architecture and engineering
	Mechanical engineering <br> related technologies	3	1689	72830.25494	51634.55475	100005.7232	0.17754625	0.178602137	0.960641838	0.000748686	0.00760603	0.000688018	0.00756639	0.870542557	0.898595573	Architecture and engineering
	Miscellaneous engineering <br> technologies	3	8846	77061.59763	52176.89906	104954.1272	0.222886605	0.225352232	0.95692257	0.004211643	0.042786827	0.003905984	0.042955549	0.862168358	0.89086721	Architecture and engineering
	Fine arts	3	20075	50062.30081	32610.56192	75290.12149	0.222533408	0.231877861	0.940077146	0.009755493	0.292511528	0.010776709	0.289534569	0.662839008	0.726936531	Arts
	Drama and theater arts	3	7485	47058.56276	31612.99271	71220.38519	0.273653762	0.270021136	0.934754127	0.003535501	0.106009478	0.004163594	0.111862014	0.6380438	0.697937037	Arts
	Music	3	12616	51618.28288	34127.27895	77061.59763	0.429038173	0.445639969	0.961671341	0.005986168	0.179491002	0.006954007	0.186831179	0.656245822	0.748072117	Arts
	Visual and performing arts	3	2167	45784.53334	30037.38049	68494.81753	0.271932712	0.264763765	0.940088298	0.001027365	0.030804822	0.001252821	0.033659151	0.599167627	0.674002776	Arts
	Commercial art and <br> graphic design	3	18440	50585.91722	35043.61057	75290.12149	0.100545926	0.101951315	0.941699103	0.009117932	0.27339471	0.009612708	0.258261697	0.702497093	0.757675308	Arts
	"Film, video, and <br> photographic arts"	3	4829	50062.30081	32557.89037	77061.59763	0.153409993	0.162590879	0.927112641	0.002474983	0.074210594	0.002751937	0.073935459	0.670444031	0.717516534	Arts
	Studio arts	3	3415	44191.21147	29723.75909	66052.79797	0.2809908	0.282598273	0.939979116	0.001453357	0.043577867	0.001709028	0.045915931	0.598042609	0.662589688	Arts
	Environmental science	3	6909	60548.39814	41306.71176	88070.39729	0.325807732	0.320500514	0.957394459	0.003051448	0.059258825	0.003131249	0.060699419	0.764647415	0.832908284	Biology and life sciences
	Biology	3	72536	74859.8377	48262.5022	126601.1961	0.622521253	0.609360584	0.970008586	0.032786703	0.636714692	0.032797049	0.635772501	0.82048422	0.875022544	Biology and life sciences
	Biochemical sciences	3	8448	80364.23753	50062.30081	141312.435	0.716774316	0.699677297	0.969957598	0.003886248	0.075470575	0.003809938	0.073855837	0.839460761	0.885559275	Biology and life sciences
	Botany	3	1010	59877.20814	40697.36297	94570.62955	0.623054641	0.612341862	0.967287265	0.000440143	0.008547544	0.000451647	0.008755203	0.746507749	0.819121876	Biology and life sciences
	Molecular biology	3	2972	73255.25334	47937.52602	126601.1961	0.693074397	0.668856914	0.967163322	0.001306639	0.025374809	0.001319751	0.025583443	0.820304147	0.878865772	Biology and life sciences
	Ecology	3	2915	55239.01433	37046.1026	82565.99746	0.376910678	0.371242841	0.96392346	0.001233187	0.023948369	0.001278601	0.024785741	0.737715141	0.787312175	Biology and life sciences
	Microbiology	3	5516	75871.18249	48915.84287	120149.522	0.604771574	0.587434342	0.965497091	0.00252502	0.049035654	0.002479207	0.04805956	0.833669773	0.887893529	Biology and life sciences
	Zoology	3	4831	81394.72593	49553.55157	146417.0355	0.655894979	0.637101255	0.971226885	0.002094834	0.040681479	0.002083184	0.040382632	0.828474164	0.881919359	Biology and life sciences
	Neuroscience	3	1038	59786.03018	43480.74922	99079.19696	0.7250093	0.686439541	0.961243717	0.000503625	0.009780348	0.000520396	0.010087912	0.779551633	0.834544646	Biology and life sciences
	Miscellaneous biology	3	7900	67083.48309	44258.18979	107886.2367	0.617081803	0.602236458	0.971290501	0.003665708	0.071187707	0.003715118	0.072017753	0.794553851	0.855078679	Biology and life sciences
	General business	3	90942	69085.97512	44191.21147	106430.4088	0.23405998	0.233120453	0.959616646	0.048326778	0.208133032	0.045362386	0.206452177	0.827059149	0.855781518	Business
	Accounting	3	91256	73090.95919	48915.84287	110087.9966	0.268542199	0.263783636	0.960653371	0.042475634	0.182933413	0.03978001	0.181045807	0.841672808	0.879822932	Business
	Actuarial science	3	597	92912.90919	61941.93946	142440.7704	0.204248772	0.214122037	0.966350115	0.000276194	0.001189507	0.00025015	0.001138478	0.896853609	0.933141411	Business
	Business management and <br> administration	3	154924	65221.12383	43480.74922	99079.19696	0.217720109	0.216106288	0.954258131	0.070712878	0.304545145	0.067215222	0.305908267	0.82100672	0.854821035	Business
	Operations logistics and <br> e-commerce	3	3561	75125.05949	52064.79285	104583.5968	0.237168628	0.239264278	0.963815474	0.001664287	0.007167725	0.001520087	0.006918181	0.883912794	0.907532846	Business
	Business economics	3	4241	81526.40479	52176.89906	125144.3911	0.298492341	0.298663016	0.955939654	0.00185373	0.007983618	0.001752607	0.007976422	0.849086628	0.893169683	Business
	Marketing and <br> marketing research	3	50879	65080.99106	43309.80001	100124.6016	0.160473579	0.161217659	0.955145831	0.024680248	0.106292515	0.024027973	0.109355523	0.808858369	0.852615131	Business
	Finance	3	48789	80099.6813	52064.79285	123883.8789	0.293555665	0.291601975	0.961749663	0.023551084	0.101429451	0.021865641	0.09951437	0.870273684	0.903713813	Business
	Human resources and <br> personnel management	3	10240	61118.45256	41833.43872	90112.14146	0.299003242	0.2942848	0.950612236	0.004926052	0.021215446	0.004709455	0.021433554	0.815001522	0.849297075	Business
	International business	3	4774	65080.99106	42732.23112	99079.19696	0.294279947	0.292718613	0.947944659	0.002345196	0.010100252	0.002350656	0.010698248	0.790005737	0.845194579	Business
	Hospitality management	3	8788	52176.89906	35828.0584	79032.48176	0.114146244	0.115337486	0.953114937	0.004299609	0.01851749	0.004294129	0.019543336	0.729901424	0.772707611	Business
	Management information systems <br> and statistics	3	10667	81465.1175	55239.01433	110478.0287	0.218849141	0.219933612	0.965253578	0.004822417	0.020769113	0.004391345	0.019985781	0.883991007	0.918454757	Business
	Miscellaneous business and <br> medical administration	3	4826	61046.04445	40697.36297	94838.97812	0.20174352	0.198349671	0.951899656	0.002257669	0.009723293	0.002203795	0.010029857	0.786112422	0.825368681	Business
